# sample name                   	cross-section		eos flag
ee_dy_tauhtauh_MG5Pythia8		2484			1
ee_ww_MG5Pythia8			19000			1
ee_zz_MG5Pythia8			1160			1
ee_zzee_MG5Pythia8			3800			1
ee_zh_delta0_MG5Pythia8			15.187592		1
ee_zh_delta_pi2_MG5Pythia8		15.187592		1
ee_zh_delta_pi34_MG5Pythia8		15.187592		1
ee_zh_delta_pi4_MG5Pythia8		15.187592		1
